FeePaymentID,MembershipID,Date,Amount,Active
1,25,2/22/2015,500,1
2,26,2/22/2015,500,1
3,68,2/23/2015,1000,1
4,68,2/23/2015,1000,1
5,69,2/23/2015,1000,1
6,71,2/23/2015,1000,1
7,72,2/23/2015,1000,1
8,73,2/23/2015,1000,1
9,74,2/23/2015,1000,1
10,74,2/23/2015,1000,1
11,75,2/23/2015,1000,1
12,76,2/23/2015,1000,1
13,77,2/23/2015,1000,1
14,78,2/23/2015,1000,1
15,79,2/23/2015,1000,1
16,67,2/23/2015,1000,1
17,81,2/23/2015,1000,1
18,82,2/23/2015,1000,1
19,83,2/23/2015,1000,1
20,84,2/23/2015,1000,1
21,85,2/23/2015,1000,1
22,86,2/23/2015,1000,1
23,87,2/23/2015,1000,1
24,88,2/23/2015,1000,1
25,89,2/23/2015,1000,1
26,90,2/23/2015,1000,1
27,91,2/23/2015,1000,1
28,92,2/23/2015,1000,1
29,93,2/23/2015,1000,1
30,94,2/23/2015,1000,1
31,95,2/23/2015,1000,1
32,96,2/23/2015,1000,1
33,97,2/23/2015,2000,1
34,98,2/23/2015,1000,1
35,99,2/23/2015,1000,1
36,109,2/23/2015,1000,1
37,100,2/23/2015,1000,1
38,101,2/23/2015,1000,1
39,102,2/23/2015,1000,1
40,103,2/23/2015,1000,1
41,104,2/23/2015,1000,1
42,105,2/23/2015,1000,1
43,106,2/23/2015,1000,1
44,107,2/23/2015,1000,1
45,108,2/23/2015,1000,1
46,108,2/23/2015,1000,1
47,110,2/23/2015,1000,1
48,111,2/23/2015,1000,1
49,112,2/23/2015,1000,1
50,113,2/23/2015,1000,1
51,114,2/23/2015,1000,1
52,220,2/23/2015,500,1
53,219,2/23/2015,500,1
54,218,2/23/2015,500,1
55,217,2/23/2015,500,1
56,216,2/23/2015,500,1
57,215,2/23/2015,500,1
58,214,2/23/2015,500,1
59,213,2/23/2015,500,1
60,212,2/23/2015,500,1
61,211,2/23/2015,500,1
62,210,2/23/2015,500,1
63,209,2/23/2015,500,1
64,208,2/23/2015,500,1
65,207,2/23/2015,500,1
66,206,2/23/2015,500,1
67,205,2/23/2015,500,1
68,204,2/23/2015,500,1
69,203,2/23/2015,500,1
70,202,2/23/2015,500,1
71,201,2/23/2015,500,1
72,200,2/23/2015,500,1
73,132,2/23/2015,500,1
74,133,2/23/2015,500,1
75,138,2/23/2015,500,1
76,137,2/23/2015,500,1
77,140,2/23/2015,500,1
78,139,2/23/2015,500,1
79,142,2/23/2015,500,1
80,143,2/23/2015,500,1
81,144,2/23/2015,500,1
82,145,2/23/2015,500,1
83,146,2/23/2015,500,1
84,147,2/23/2015,500,1
85,148,2/23/2015,500,1
86,149,2/23/2015,500,1
87,150,2/23/2015,500,1
88,151,2/23/2015,500,1
89,152,2/23/2015,500,1
90,153,2/23/2015,500,1
91,155,2/23/2015,500,1
92,154,2/23/2015,500,1
93,156,2/23/2015,500,1
94,160,2/23/2015,500,1
95,164,2/23/2015,500,1
96,165,2/23/2015,500,1
97,166,2/23/2015,500,1
98,135,2/23/2015,500,1
99,136,2/23/2015,500,1
100,169,2/23/2015,500,1
102,171,2/23/2015,500,1
103,170,2/23/2015,500,1
104,174,2/23/2015,500,1
105,172,2/23/2015,500,1
106,175,2/23/2015,500,1
107,176,2/23/2015,500,1
108,177,2/23/2015,500,1
109,178,2/23/2015,500,1
110,179,2/23/2015,500,1
111,180,2/23/2015,500,1
112,181,2/23/2015,500,1
113,183,2/23/2015,500,1
114,184,2/23/2015,500,1
115,186,2/23/2015,500,1
117,188,2/23/2015,500,1
118,189,2/23/2015,500,1
119,167,2/23/2015,500,1
120,191,2/23/2015,500,1
121,190,2/23/2015,500,1
122,197,2/23/2015,500,1
123,187,2/23/2015,500,1
124,195,2/23/2015,500,1
125,194,2/23/2015,500,1
126,198,2/23/2015,500,1
127,199,2/23/2015,500,1
128,162,2/23/2015,500,1
129,27,2/23/2015,500,1
130,28,2/23/2015,500,1
131,29,2/23/2015,500,1
132,31,2/23/2015,500,1
133,32,2/23/2015,500,1
134,34,2/23/2015,500,1
135,35,2/23/2015,500,1
136,36,2/23/2015,500,1
137,37,2/23/2015,500,1
138,38,2/23/2015,500,1
139,39,2/23/2015,500,1
140,40,2/23/2015,500,1
141,41,2/23/2015,500,1
142,42,2/23/2015,500,1
143,43,2/23/2015,500,1
144,44,2/23/2015,500,1
145,45,2/23/2015,500,1
146,46,2/23/2015,500,1
147,47,2/23/2015,500,1
148,48,2/23/2015,500,1
149,49,2/23/2015,500,1
150,50,2/23/2015,500,1
151,51,2/23/2015,500,1
152,52,2/23/2015,500,1
153,53,2/23/2015,500,1
154,54,2/23/2015,500,1
155,55,2/23/2015,500,1
156,56,2/23/2015,500,1
157,57,2/23/2015,500,1
158,58,2/23/2015,500,1
159,59,2/23/2015,500,1
160,60,2/23/2015,1000,1
161,63,2/23/2015,500,1
162,65,2/23/2015,500,1
163,66,2/23/2015,500,1
164,118,2/23/2015,500,1
165,119,2/23/2015,500,1
166,120,2/23/2015,500,1
167,121,2/23/2015,500,1
169,123,2/23/2015,500,1
170,124,2/23/2015,500,1
171,125,2/23/2015,500,1
172,126,2/23/2015,500,1
173,127,2/23/2015,500,1
174,128,2/23/2015,500,1
175,129,2/23/2015,500,1
176,131,2/23/2015,500,1
177,141,2/23/2015,500,1
178,159,2/23/2015,500,1
179,163,2/23/2015,500,1
180,173,2/23/2015,500,1
181,192,2/23/2015,500,1
182,196,2/23/2015,500,1
183,225,2/23/2015,500,1
184,226,2/23/2015,500,1
186,228,2/23/2015,500,1
187,229,2/23/2015,500,1
188,230,2/23/2015,500,1
189,231,2/23/2015,500,1
190,311,2/24/2015,2000,1
191,312,2/24/2015,2000,1
192,329,2/24/2015,2000,1
193,328,2/24/2015,2000,1
194,327,2/24/2015,2000,1
195,326,2/24/2015,2000,1
196,325,2/24/2015,2000,1
197,324,2/24/2015,2000,1
198,323,2/24/2015,2000,1
199,322,2/24/2015,2000,1
200,321,2/24/2015,2000,1
201,320,2/24/2015,2000,1
202,319,2/24/2015,1000,1
203,318,2/24/2015,1000,1
204,317,2/24/2015,1500,1
205,316,2/24/2015,1000,1
206,315,2/24/2015,2000,1
207,314,2/24/2015,2000,1
208,313,2/24/2015,2000,1
209,310,2/24/2015,1000,1
210,309,2/24/2015,1000,1
211,308,2/24/2015,2000,1
212,304,2/24/2015,2000,1
213,306,2/24/2015,2000,1
214,305,2/24/2015,2000,1
215,304,2/24/2015,2000,1
216,303,2/24/2015,1000,1
217,343,2/24/2015,2000,1
218,182,2/24/2015,1500,1
219,60,2/24/2015,1500,1
220,342,2/24/2015,2000,1
221,341,2/24/2015,1000,1
222,340,2/24/2015,2000,1
223,338,2/24/2015,2000,1
224,337,2/24/2015,2000,1
225,311,2/24/2015,2000,1
226,312,2/24/2015,2000,1
227,233,2/24/2015,500,1
228,236,2/24/2015,500,1
229,237,2/24/2015,500,1
230,238,2/24/2015,500,1
